Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10µ","C_0805_2012Metric",105.410000,-85.852000,0.000000,top
"C102","22µ","C_0805_2012Metric",95.250000,-87.122000,270.000000,top
"C103","1µ","C_0402_1005Metric",95.000000,-110.524000,180.000000,top
"C104","100n","C_0402_1005Metric",95.000000,-111.774000,180.000000,top
"D101","LED","LED_Cree-XQ",92.000000,-105.750000,180.000000,top
"D102","LED","LED_Cree-XQ",108.000000,-103.250000,0.000000,top
"D103","LED","LED_Cree-XQ",94.500000,-105.750000,180.000000,top
"D104","LED","LED_Cree-XQ",105.500000,-103.250000,0.000000,top
"D105","LED","LED_Cree-XQ",94.500000,-103.250000,0.000000,top
"D106","LED","LED_Cree-XQ",105.500000,-105.750000,180.000000,top
"D107","LED","LED_Cree-XQ",92.000000,-103.250000,0.000000,top
"D108","LED","LED_Cree-XQ",108.000000,-105.750000,180.000000,top
"D109","LED","LED_Cree-XQ",108.000000,-94.250000,0.000000,top
"D110","LED","LED_Cree-XQ",92.000000,-96.750000,180.000000,top
"D111","LED","LED_Cree-XQ",105.500000,-94.250000,0.000000,top
"D112","LED","LED_Cree-XQ",94.500000,-96.750000,180.000000,top
"D113","LED","LED_Cree-XQ",105.500000,-96.750000,180.000000,top
"D114","LED","LED_Cree-XQ",94.500000,-94.250000,0.000000,top
"D115","LED","LED_Cree-XQ",108.000000,-96.750000,180.000000,top
"D116","LED","LED_Cree-XQ",92.000000,-94.250000,0.000000,top
"D117","red","LED_0603_1608Metric",90.932000,-107.950000,180.000000,top
"D118","green","LED_0603_1608Metric",109.220000,-101.092000,0.000000,top
"D119","red","LED_0603_1608Metric",94.234000,-107.950000,180.000000,top
"D120","green","LED_0603_1608Metric",105.918000,-101.092000,0.000000,top
"D121","red","LED_0603_1608Metric",94.234000,-101.092000,0.000000,top
"D122","green","LED_0603_1608Metric",105.918000,-107.950000,180.000000,top
"D123","red","LED_0603_1608Metric",90.932000,-101.092000,0.000000,top
"D124","green","LED_0603_1608Metric",109.220000,-107.950000,180.000000,top
"D125","blue","LED_0603_1608Metric",109.220000,-92.202000,0.000000,top
"D126","white","LED_0603_1608Metric",90.932000,-98.806000,180.000000,top
"D127","blue","LED_0603_1608Metric",105.918000,-92.202000,0.000000,top
"D128","white","LED_0603_1608Metric",94.234000,-98.806000,180.000000,top
"D129","blue","LED_0603_1608Metric",105.918000,-98.806000,180.000000,top
"D130","white","LED_0603_1608Metric",94.234000,-92.202000,0.000000,top
"D131","blue","LED_0603_1608Metric",109.220000,-98.806000,180.000000,top
"D132","white","LED_0603_1608Metric",90.932000,-92.202000,0.000000,top
"D133","SS14","D_SMA",93.726000,-82.296000,180.000000,top
"D134","SM4007","D_MELF",99.060000,-81.026000,270.000000,top
"F101","750mA","Fuse_1812_4532Metric_Castellated",94.000000,-78.500000,180.000000,top
"R101","82","R_0402_1005Metric",88.138000,-102.000000,0.000000,top
"R102","82","R_0402_1005Metric",112.268000,-107.000000,180.000000,top
"R103","1k","R_0402_1005Metric",85.598000,-103.124000,90.000000,top
"R104","1k","R_0402_1005Metric",114.554000,-104.902000,90.000000,top
"R105","82","R_0402_1005Metric",112.268000,-98.000000,180.000000,top
"R106","82","R_0402_1005Metric",87.886000,-92.964000,0.000000,top
"R107","1k","R_0402_1005Metric",114.554000,-96.012000,90.000000,top
"R108","1k","R_0402_1005Metric",85.598000,-93.980000,90.000000,top
"U101","L78M05","TO-252-2",100.076000,-90.424000,270.000000,top
"U102","BCR421UW6","SOT-23-6",88.250000,-104.500000,0.000000,top
"U103","BCR421UW6","SOT-23-6",111.750000,-104.500000,180.000000,top
"U104","ATtiny404-SS","SOIC-14_3.9x8.7mm_P1.27mm",100.500000,-116.500000,0.000000,top
"U105","SP3485CN","SOIC-8_3.9x4.9mm_P1.27mm",105.500000,-82.000000,0.000000,top
"U106","BCR421UW6","SOT-23-6",111.750000,-95.500000,180.000000,top
"U107","BCR421UW6","SOT-23-6",88.250000,-95.500000,0.000000,top
